,0,1
136,at,comments
137,like,altText
138,impeccably,comments
139,ugly,comments
140,9,altText
141,of,comments
142,to,comments
143,perfect,comments
144,was,comments
145,Man,comments
146,jewelery,comments
147,lol,comments
148,babygirl,comments
149,THAT,comments
150,been,comments
151,one,comments
152,7,altText
153,stop,comments
154,sis,comments
155,get,comments
156,seen,comments
157,amazing,comments
158,Gorgeous,altText
159,em,comments
160,am,comments
161,sister,comments
162,Beautiful,altText
163,Ya,comments
164,sexy,comments
165,middle,comments
166,5,altText
167,not,altText
168,sunglasses,comments
169,Love,altText
170,Beautiful,comments
171,super,comments
172,People,comments
173,we,comments
174,ment,comments
175,nails,comments
176,When,altText
177,suit,altText
178,is,comments
179,dad,comments
180,guy,comments
181,she,comments
182,hat,comments
183,LOOK,comments
184,Moreno,comments
185,snow,comments
186,eating,altText
187,lake,comments
188,Right,comments
189,bully,comments
190,11,altText
191,U0001f389,comments
192,Cute,comments
193,Bobby,comments
194,Collins,comments
195,cool,comments
196,PIC,comments
197,Thanks,comments
198,Amber,comments
199,i,comments
200,Tee,comments
201,Fulton,comments
202,re,comments
203,Beauty,comments
204,sweetie,comments
205,recognize,comments
206,u2019s,comments
207,wheelers,comments
208,heck,comments
209,with,comments
210,SHIT,comments
211,selfie,altText
212,not,comments
213,real,comments
214,amazingness,comments
215,U0001f44c,comments
216,shittt,comments
217,hoping,comments
218,You,altText
219,U0001f495,comments
220,There,altText
221,U0001f924,comments
222,U0001f3fc,comments
223,Babygirl,comments
224,escalated,comments
225,But,comments
226,more,altText
227,likely,comments
228,are,comments
229,Get,comments
230,awesome,comments
231,U0001f49c,comments
232,cutie,comments
233,if,comments
234,absolutely,comments
235,Aidan,comments
236,me,comments
237,football,comments
238,U0001f60a,comments
239,GIRL,comments
240,people,comments
241,classes,comments
242,U0001f52b,comments
243,should,comments
244,all,comments
245,for,comments
246,because,comments
247,Miss,comments
248,GREAT,comments
249,passed,comments
250,believe,comments
251,good,comments
252,b4,comments
253,much,altText
254,son,comments
255,LIKE,altText
256,have,comments
257,baller,comments
258,share,comments
259,U0001f340,comments
260,sleeping,altText
261,foil,comments
262,bike,comments
263,u2019t,comments
264,time,comments
265,a,comments
266,cuuuuute,comments
267,beauty,comments
268,up,comments
269,imagine,comments
270,lot,comments
271,named,comments
272,boots,comments
273,baby,comments
274,hes,comments
275,two,comments
276,ll,comments
277,U0001f498,comments
278,U0001f910,comments
279,Inbox,comments
280,markers,comments
281,U0001f497,comments
282,D,comments
283,IT,comments
284,drink,altText
285,fight,comments
286,mean,comments
287,Bernard,comments
288,serious,comments
289,nI,comments
290,u2019ll,comments
291,fine,comments
292,themselves,comments
293,lololololololololol,comments
294,Thomas,comments
295,lips,comments
296,Uploaded,comments
297,him,comments
298,Dude,altText
299,pregnant,comments
300,U0001f525,comments
301,Yup,comments
302,after,comments
303,U0001f604,comments
304,thannk,comments
305,know,comments
306,beer,comments
307,Hey,comments
308,8,altText
309,flower,altText
310,Dude,comments
311,tune,comments
312,text,altText
313,what,comments
314,admit,comments
315,girlie,comments
316,t,comments
317,true,comments
318,COUPLE,comments
319,said,comments
320,shouldn,comments
321,Nettles,comments
322,Grandpa,comments
323,brad,comments
324,keep,comments
325,mini,comments
326,Tho,comments
327,Your,comments
328,Lobby,comments
329,My,comments
330,looked,comments
331,or,altText
332,sauced,comments
333,daughter,comments
334,child,altText
335,kiss,comments
336,mommy,comments
337,fav,comments
338,U0001f629,comments
339,Whoopi,comments
340,Buddy,altText
341,your,comments
342,Bro,comments
343,Mel,comments
344,Son,comments
345,CAR,comments
346,finally,comments
347,suit,comments
348,Better,comments
349,did,comments
350,job,comments
351,beard,comments
352,U0001f923,comments
353,duhhh,comments
354,wrong,comments
355,U0001f4afbest,comments
356,really,comments
357,nhahaha,comments
358,excited,comments
359,DUDE,comments
360,Guess,comments
361,happening,comments
362,blonde,comments
363,Shanon,comments
364,WALL,altText
365,but,comments
366,dining,comments
367,OH,comments
368,Bro,altText
369,catcher,comments
370,Wow,comments
371,holy,comments
372,Eagle,comments
373,wth,comments
374,look,altText
375,belong,comments
376,man,altText
377,need,comments
378,p,comments
379,road,altText
380,seem,comments
381,still,comments
382,CaR,comments
383,PiEc,comments
384,who,comments
385,pic,altText
386,miles,comments
387,truck,comments
388,buddy,comments
389,Dam,comments
390,Beverly,comments
391,make,comments
392,here,comments
393,TOO,comments
394,agree,comments
395,ur,comments
396,dude,comments
397,BEAUTIFUL,comments
398,phone,comments
399,back,comments
400,changes,comments
401,just,comments
402,then,comments
403,wow,comments
404,behind,comments
405,PEOPLE,altText
406,Of,comments
407,Tommy,comments
408,increase,comments
409,post,comments
410,tron,comments
411,cough,comments
412,U0001f91f,comments
413,friend,comments
414,down,comments
415,peeeeeee,comments
416,Mines,comments
417,Tan,comments
418,popping,comments
419,u201cgirl,comments
420,bother,comments
421,cash,comments
422,15,altText
423,Meanwhile,comments
424,eat,comments
425,see,comments
426,Clint,comments
427,IDK,comments
428,PLAY,altText
429,Uhh,comments
430,you,altText
431,crowd,altText
432,srry,comments
433,in,comments
434,SON,comments
435,wreck,comments
436,Awesome,comments
437,crotch,comments
438,anything,comments
439,miking,comments
440,ass,comments
441,artistic,comments
442,Stop,comments
443,right,comments
444,MAN,altText
445,april,comments
446,while,comments
447,purple,comments
448,favourite,comments
449,Brotha,comments
450,About,comments
451,Yea,comments
452,tahoe,comments
453,brother,comments
454,Look,altText
455,three,comments
456,some,comments
457,U0001f602,comments
458,MPH,comments
459,That,altText
460,Ik,comments
461,yeah,comments
462,mic,comments
463,using,comments
464,ME,comments
465,Giraffes,comments
466,u2019d,comments
467,has,comments
468,2,comments
469,Sir,comments
470,Ashley,comments
471,6,comments
472,first,comments
473,hahaha,comments
474,anymore,comments
475,soon,comments
476,brown,comments
477,Thnx,comments
478,Handsome,comments
479,U0001f480,comments
480,as,comments
481,new,comments
482,when,comments
483,lit,comments
484,thing,comments
485,bullshit,comments
486,peoPlE,comments
487,GrEat,comments
488,likes,altText
489,looks,comments
490,beautifully,comments
491,special,comments
492,LIKE,comments
493,xed,comments
494,U0001f917,comments
495,sweet,comments
496,rg,comments
497,39,comments
498,dude,altText
499,will,comments
500,lil,comments
501,573,comments
502,THE,comments
503,Sure,altText
504,caught,comments
505,Products,comments
506,he,altText
507,idk,comments
508,Brother,comments
509,phrase,comments
510,wana,altText
511,much,comments
512,lookin,comments
513,tryna,comments
514,how,comments
515,night,comments
516,had,comments
517,Oppps,comments
518,Interested,comments
519,U0001f607,comments
520,out,comments
521,guy,altText
522,tht,comments
523,U0001f602nope,comments
524,small,comments
525,S,comments
526,appreciated,comments
527,Life,comments
528,twins,comments
529,familiar,comments
530,jelly,comments
531,Lol,comments
532,FUCK,comments
533,YOU,comments
534,Whoot,comments
535,little,comments
536,gracie,comments
537,sweetttt,comments
538,chicks,comments
539,think,comments
540,box,comments
541,hurt,comments
542,No,comments
543,greatful,comments
544,by,comments
545,u2019s,altText
546,none,comments
547,players,comments
548,happened,comments
549,shirt,comments
550,guyss,comments
551,there,comments
552,innapropreate,comments
553,try,comments
554,Shoulda,comments
555,Correction,comments
556,Mermaids,comments
557,creepy,comments
558,U0001f633,comments
559,nicest,comments
560,puff,comments
561,Take,comments
562,one,altText
563,haha,comments
564,ambush,comments
565,U0001f60f,comments
566,Man,altText
567,Donne,comments
568,Yay,comments
569,u,comments
570,talkin,comments
571,stake,comments
572,world,comments
573,course,comments
574,house,comments
575,an,comments
576,want,comments
577,grass,altText
578,Holy,comments
579,carpet,comments
580,months,comments
581,Boi,comments
582,done,comments
583,tree,altText
584,Uh,comments
585,We,comments
586,Driving,comments
587,U0001f60b,comments
588,crazy,comments
589,can,comments
590,crappie,comments
591,Its,comments
592,Meetme,comments
593,Movie,comments
594,off,comments
595,SIR,comments
596,TO,comments
597,Aw,altText
598,next,comments
599,eyes,comments
600,HaD,comments
601,change,comments
602,fucking,comments
603,Barely,comments
604,Shit,comments
605,It,altText
606,grade,comments
607,shoes,altText
608,Haha,comments
609,U0001f63b,comments
610,favorite,comments
611,likes,comments
612,grades,comments
613,face,comments
614,posting,comments
615,loooove,comments
616,U0001f4a8,comments
617,Still,comments
618,say,comments
619,momma,comments
620,32,altText
621,Me,comments
622,dillon,comments
623,u2661,comments
624,always,comments
625,Going,comments
626,Why,comments
627,laugh,comments
628,gun,comments
629,speak,comments
630,babies,comments
631,adjustable,comments
632,Ill6,comments
633,bestfrinns,comments
634,Very,comments
635,hella,comments
636,kennys,comments
